Time (s),DIO 0
-9.7791275500000001,1
-9.7782942199999994,1
-9.7774608900000004,1
-9.7766275599999997,0
-9.7757942300000007,0
-9.7749609,0
-9.774127570000001,0
-9.7732942400000002,0
-9.7724609099999995,0
-9.7716275800000005,0
-9.7707942499999998,0
-9.7699609200000008,0
-9.7691275900000001,0
-9.7682942600000011,1
-9.7674609300000004,1
-9.7666275999999996,1
-9.7657942700000007,1
-9.7649609399999999,1
-9.764127610000001,1
-9.7632942800000002,1
-9.7624609499999995,1
-9.7616276200000005,1
-9.7607942899999998,1
-9.7599609600000008,0
-9.7591276300000001,0
-9.7582943000000011,0
-9.7574609700000003,0
-9.7566276399999996,0
-9.7557943100000006,0
-9.7549609799999999,0
-9.7541276500000009,0
-9.7532943200000002,0
-9.7524609899999994,0
-9.7516276600000005,1
-9.7507943299999997,1
-9.7499610000000008,1
-9.74912767,1
-9.7482943400000011,1
-9.7474610100000003,1
-9.7466276799999996,1
-9.7457943500000006,1
-9.7449610199999999,1
-9.7441276900000009,1
-9.7432943600000002,0
-9.7424610299999994,0
-9.7416277000000004,0
-9.7407943699999997,0
-9.7399610400000007,0
-9.73912771,0
-9.738294380000001,0
-9.7374610500000003,0
-9.7366277199999995,0
-9.7357943900000006,0
-9.7349610599999998,1
-9.7341277300000009,1
-9.7332944000000001,1
-9.7324610699999994,1
-9.7316277400000004,1
-9.7307944099999997,1
-9.7299610800000007,1
-9.72912775,1
-9.728294420000001,1
-9.7274610900000003,1
-9.7266277599999995,0
-9.7257944300000005,0
-9.7249610999999998,0
-9.7241277700000008,0
-9.7232944400000001,0
-9.7224611099999994,0
-9.7216277800000004,0
-9.7207944499999996,0
-9.7199611200000007,0
-9.7191277899999999,0
-9.718294460000001,1
-9.7174611300000002,1
-9.7166277999999995,1
-9.7157944700000005,1
-9.7149611399999998,1
-9.7141278100000008,1
-9.7132944800000001,1
-9.7124611500000011,1
-9.7116278200000004,1
-9.7107944899999996,1
-9.7099611600000006,0
-9.7091278299999999,0
-9.7082945000000009,0
-9.7074611700000002,0
-9.7066278399999995,0
-9.7057945100000005,0
-9.7049611799999997,0
-9.7041278500000008,0
-9.70329452,0
-9.7024611900000011,0
-9.7016278600000003,1
-9.7007945299999996,1
-9.6999612000000006,1
-9.6991278699999999,1
-9.6982945400000009,1
-9.6974612100000002,1
-9.6966278799999994,1
-9.6957945500000005,1
-9.6949612199999997,1
-9.6941278900000007,1
-9.69329456,0
-9.692461230000001,0
-9.6916279000000003,0
-9.6907945699999996,0
-9.6899612400000006,0
-9.6891279099999998,0
-9.6882945800000009,0
-9.6874612500000001,0
-9.6866279199999994,0
-9.6857945900000004,0
-9.6849612599999997,1
-9.6841279300000007,1
-9.6832946,1
-9.682461270000001,1
-9.6816279400000003,1
-9.6807946099999995,1
-9.6799612800000006,1
-9.6791279499999998,1
